re_text,prevalence,se_prevalence,adjustment_type,RSE,outcome
Vietnamese,0.040593664,0.013321882537763742,Standardized,32.81764039620514,mphd_poor
White,0.1033533884384667,0.00217301,Standardized,2.1025052577010763,mphd_poor
AIAN,0.16906464031598156,0.020744811,Standardized,12.270342951045162,mmhd_poor
AIAN-Black,0.3214252487903524,0.05704613,Standardized,17.74786822941199,mmhd_poor
AIAN-Black-White,0.21636709604915544,0.042874120829719975,Standardized,19.815453279448555,mmhd_poor
AIAN-Multiple,0.10933227572648066,0.02900208,Standardized,26.52654945182058,mmhd_poor
AIAN-White,0.2221943354263505,0.025122883793460993,Standardized,11.306716593496748,mmhd_poor
Asian Indian,0.056474284,0.010504824299584575,Standardized,18.60107554463932,mmhd_poor
Asian-Black,0.14613846129568528,0.052508043886084425,Standardized,35.930338543693644,mmhd_poor
Asian-Multiple,0.17609564983112144,0.039027412,Standardized,22.162621317934207,mmhd_poor
Asian-NHPI,0.11237972368202541,0.036347703,Standardized,32.34364841475592,mmhd_poor
Asian-White,0.12200229386823234,0.025247269,Standardized,20.69409382066416,mmhd_poor
Black,0.13571516051110813,0.006868171,Standardized,5.060724706665233,mmhd_poor
Black-Multiple,0.0764646,0.027233766011809303,Standardized,35.616175190891994,mmhd_poor
Black-White,0.1881944882550573,0.039485602,Standardized,20.981274544272704,mmhd_poor
Chinese,0.051199087695651783,0.007035267,Standardized,13.740999990505575,mmhd_poor
DK/R,0.11218469970774873,0.011082553731114329,Standardized,9.878846010182656,mmhd_poor
Filipino,0.095041125,0.011059365007136604,Standardized,11.636399510515876,mmhd_poor
Hispanic-AIAN,0.14405567438875588,0.013020872123953036,Standardized,9.038777666483485,mmhd_poor
Hispanic-AIAN-White,0.17933045662545863,0.043390859,Standardized,24.196034611271756,mmhd_poor
Hispanic-Asian,0.17044614932102237,0.037902455,Standardized,22.23720207295011,mmhd_poor
Hispanic-Black,0.12022608599409097,0.016118820619727234,Standardized,13.407090887512934,mmhd_poor
Hispanic-Black-White,0.17204297444933825,0.06473932,Standardized,37.629737935029134,mmhd_poor
Hispanic-NHPI,0.092124535,0.030326280709618757,Standardized,32.91878831211127,mmhd_poor
Hispanic-White,0.10495468833645885,0.003513649,Standardized,3.3477773860245836,mmhd_poor
Japanese,0.038685888,0.011261848539108558,Standardized,29.110998993601918,mmhd_poor
Korean,0.059257064428090485,0.018910755985354882,Standardized,31.91308271489457,mmhd_poor
Mexican,0.1092651067537031,0.00671762,Standardized,6.148001441466445,mmhd_poor
Multiple Hispanic,0.0861373,0.020099374893331662,Standardized,23.334112969784446,mmhd_poor
NHPI-Multiple,0.14290613828055987,0.04072669,Standardized,28.498908760184012,mmhd_poor
NHPI-White,0.15201422008610652,0.052706853600257716,Standardized,34.672317872895434,mmhd_poor
Other Asian,0.074458583,0.011641975,Standardized,15.635504894873842,mmhd_poor
Other Hispanic,0.11373009001297199,0.012587489633267187,Standardized,11.067862191818776,mmhd_poor
Other Pacific Islander,0.11307910478418469,0.035371683622992645,Standardized,31.28047722919341,mmhd_poor
Other Race,0.15426470661660402,0.014392894174193939,Standardized,9.329998085670221,mmhd_poor
